name;description;image_path;bitterness;fullness;sweetness;abv;beverageType;country;brand
This must be the haze;Aromatic hop flavor with slight sweetness, hints of light bread, passion fruit, mango, grapefruit peel and pine resin. Served at 8-10°C as a companion drink, with light meat dishes or with vegetarian dishes.;https://product-cdn.systembolaget.se/productimages/34522142/34522142_800.png;0.5;0.5;0.25;6.5;New England IPA/Hazy IPA;Sweden;Stigberget
ÖL;Malty taste with clear bitterness, hints of light bread, fresh herbs and citrus peel. Served at 8-10°C as a companion drink, or with light meat dishes.;https://product-cdn.systembolaget.se/productimages/24578195/24578195_400.png?q=75&w=2000;0.6;0.4;0.1;4.5;Light Lager;Sweden;Stigberget
Amazing Haze;Hop aromatic, fruity taste with clear bitterness, hints of passion fruit, pineapple, pine needles, apricot and grapefruit. Served at 8-10°C as a companion drink or with dishes of lamb or beef, preferably grilled.;https://product-cdn.systembolaget.se/productimages/24387844/24387844_400.png?q=75&w=2000;0.7;0.6;0.1;6.5;New England IPA/Hazy IPA;Sweden;Stigberget
American Pale Ale;Hop aromatic, nuanced flavor with clear bitterness, hints of passion fruit, orange peel, pine needles, mango, honey and grapefruit. Served at 10-12°C as a companion drink, or with lamb or beef dishes.;https://sb-product-media-prod.azureedge.net/productimages/24455503/24455503_400.png?q=75&w=2000;0.7;0.6;0.15;5.2;India Pale Ale (IPA);Sweden;Stigberget
Dubbelmås;Fruity taste with slight sweetness, hints of mango, pineapple, papaya, honey and orange. Served at 8-10°C as a companion drink or with pork or lamb dishes, or with tasty vegetarian dishes.;https://product-cdn.systembolaget.se/productimages/26907551/26907551_400.png?q=75&w=2000;0.5;0.7;0.25;8.5;Imperial IPA/Double IPA;Sweden;Stigberget
West Coast IPA;Hop aromatic, fruity taste with clear bitterness, hints of pineapple, passion fruit, honey, orange, mango and pine needles. Served at 10-12°C as a companion drink or with tasty dishes of pork, lamb or beef, preferably grilled.;https://product-cdn.systembolaget.se/productimages/24407938/24407938_400.png?q=75&w=2000;0.75;0.65;0.15;6.5;New England IPA/Hazy IPA;Sweden;Stigberget
Cake;Tasty, sweet beer with hints of barrel, chocolate cake, roasted nuts, rum raisin, coffee, marzipan and vanilla. Served at 12-14°C as a companion drink, or with chocolate desserts.;https://product-cdn.systembolaget.se/productimages/32124191/32124191_400.png?q=75&w=2000;0.6;0.8;0.7;12.0;Porter & Stout;Sweden;Stigberget
Juleljus NEIPA;Hop aromatic taste with clear bitterness and slight sweetness, hints of grapefruit, pineapple, pine needles, honey and sponge cake. Served at 8-10°C as a companion drink or with dishes of pork, lamb or beef.;https://product-cdn.systembolaget.se/productimages/24410214/24410214_400.png?q=75&w=2000;0.6;0.6;0.25;6.8;New England IPA/Hazy IPA;Sweden;Stigberget
Norrlands Guld Export;Malty flavor with hints of citrus, herbs and crisp bread. Served at 8-10°C as a companion drink or with dishes of fish or light meat.;https://product-cdn.systembolaget.se/productimages/310574/310574_400.png?q=75&w=2000;0.4;0.4;0.15;5.3;Light Lager;Sweden;Spendrups
Norrlands Djup;Bready flavor with sweetness, hints of banana and citrus peel. Served at around 8°C as a companion drink or with dishes of pork, lamb or beef.;https://product-cdn.systembolaget.se/productimages/507940/507940_400.png?q=75&w=2000;0.4;0.65;0.3;6.8;Light Lager;Sweden;Spendrups
Norrlands Ljus;Malty taste with hints of light bread, citrus peel and herbs. Served at 8-10°C as a companion drink or with dishes of fish or light meat.;https://product-cdn.systembolaget.se/productimages/494047/494047_400.png?q=75&w=2000;0.3;0.3;0.05;4.7;Light Lager;Sweden;Spendrups
Heineken;Malty taste with hints of light crisp bread, honey, straw and citrus. Served at 8-10°C with vegetarian dishes, with fish or chicken dishes or as a companion drink.;https://product-cdn.systembolaget.se/productimages/1132/1132_400.png?q=75&w=2000;0.4;0.4;0.15;5.0;Light Lager;International;Spendrups
Mariestads Old Ox;Malty taste with hints of light bread, honey and orange. Served at 10-12°C as a companion drink or with rustic pork dishes.;https://product-cdn.systembolaget.se/productimages/10538/10538_400.png?q=75&w=2000;0.5;0.65;0.2;6.9;Bock;Sweden;Spendrups
Mariestads Export;Malty taste with hints of honey, light bread and citrus. Served at approx. 8°C as a companion drink or with fish and seafood dishes, vegetarian dishes or with a buffet.;https://product-cdn.systembolaget.se/productimages/791/791_400.png?q=75&w=2000;0.5;0.5;0.05;5.3;Dortmunder & Helles;Sweden;Spendrups
Mariestads Julebrygd;Malty taste with hints of breadcrumbs, crackling, orange, spices, raisins and chocolate. Served at 8-10°C as a companion drink, with tasty vegetarian dishes or with pork, lamb or beef dishes.;https://product-cdn.systembolaget.se/productimages/865593/865593_400.png?q=75&w=2000;0.5;0.65;0.15;5.8;Dark Lager;Sweden;Spendrups
Sofiero Original;Malty taste with hints of light bread, straw and citrus. Served at 8-10°C as a companion drink, to a buffet or with dishes of fish or light meat.;https://product-cdn.systembolaget.se/productimages/508055/508055_400.png?q=75&w=2000;0.35;0.3;0.05;5.2;Light Lager;Sweden;Kopparberg
Sofiero Original Guld;Malty taste with hints of crispbread, herbs, honey and citrus peel. Served at 8-10°C as a companion drink or with pork, lamb or beef dishes.;https://product-cdn.systembolaget.se/productimages/508019/508019_400.png?q=75&w=2000;0.5;0.65;0.1;7.5;Light  Lager;Sweden;Kopparberg
Swedish Elk Brew;Bready taste with hints of honey and citrus. Served at around 8°C as a companion drink or with light meat dishes.;https://product-cdn.systembolaget.se/productimages/402946/402946_400.png?q=75&w=2000;0.25;0.3;0.1;7.5;Light Lager;Sweden;Kopparberg
Zeunerts Höga Kusten;Malty taste with hints of apricot, syrup loaf, herbs and orange peel. Served at around 8°C as a companion drink, to a buffet or with light meat dishes.;https://product-cdn.systembolaget.se/productimages/942578/942578_400.png?q=75&w=2000;0.5;0.5;0.15;5.3;Blend(Lager/Ale);Sweden;Kopparberg
Dansk Fadøl;Malty flavor with hints of crispbread, honey and citrus. Served at 8-10°C as a companion drink, to a buffet or with dishes of fish or light meat.;https://product-cdn.systembolaget.se/productimages/508110/508110_400.png?q=75&w=2000;0.4;0.4;0.1;5.0;Light Lager;Sweden;Kopparberg
Pistonhead Regular Lager;Malty flavor with hints of light bread, honey and citrus peel. Served at 8-10°C as a companion drink, with vegetarian dishes or with dishes of fish or light meat.;https://product-cdn.systembolaget.se/productimages/33545972/33545972_400.png?q=75&w=2000;0.4;0.4;0.1;5.1;Light Lager;Sweden;Brutal Brewing
Pistonhead Haze Lager;Slightly hoppy, fruity flavor with hints of passion fruit, light bread, nectarine and grapefruit. Served at 8-10°C as a companion drink or with light meat dishes or with vegetarian dishes.;https://product-cdn.systembolaget.se/productimages/11894770/11894770_400.png?q=75&w=2000;0.5;0.4;0.1;5.1;Modern style/India Pale Lager;Sweden;Brutal Brewing
Asahi Super Dry;Malty flavor hints of light bread, citrus, herbs and honey. Served at 6-8°C as a companion drink, with vegetarian dishes or with dishes of fish or light meat.;https://product-cdn.systembolaget.se/productimages/34550/34550_400.png?q=75&w=2000;0.25;0.35;0.1;5.0;Light Lager;International;Asahi Beer
A Ship Full of IPA;Nuanced, slightly hoppy flavor with clear bitterness, with hints of apricot marmalade, syrup loaf, orange peel and honey. Served at 10-12 °C as a companion drink or with tasty dishes of pork, lamb or beef, preferably grilled.;https://product-cdn.systembolaget.se/productimages/24442384/24442384_400.png?q=75&w=2000;0.7;0.6;0.15;5.8;India Pale Ale (IPA);Sweden;Brutal Brewing
West Coast IPA;Aromatic hop flavor with clear bitterness, hints of orange peel, apricot, apple blossoms, straw and herbs. Served at 8-10°C as a companion drink or with tasty dishes of pork, lamb or beef.;https://product-cdn.systembolaget.se/productimages/25722757/25722757_400.png?q=75&w=2000;0.7;0.6;0.15;6.5;India Pale Ale (IPA);Sweden;Poppels
Hazy IPA;Slightly hoppy flavor with slight sweetness, hints of light bread, mango, papaya, pine resin and grapefruit. Served at 8-10°C as a companion drink or with dishes of pork, lamb or beef, preferably grilled.;https://product-cdn.systembolaget.se/productimages/36485207/36485207_400.png?q=75&w=2000;0.5;0.7;0.25;6.5;New England IPA/Hazy IPA;Sweden;Poppels
American Pale Ale;Hop aromatic flavor with hints of blood grapefruit, apricot, pine needles, syrup and herbs. Served at 10-12°C as a companion drink or with light meat dishes or tasty vegetarian dishes.;https://product-cdn.systembolaget.se/productimages/754631/754631_400.png?q=75&w=2000;0.65;0.5;0.1;5.4;American Pale Ale (APA);Sweden;Poppels
Tropical IPA;Fruity taste with clear bitterness, hints of mango, rosemary, pineapple, sponge cake and grapefruit. Served at 8-10°C as a companion drink, or with lamb and beef dishes.;https://product-cdn.systembolaget.se/productimages/24573200/24573200_400.png?q=75&w=2000;0.65;0.65;0.15;6.5;India Pale Ale (IPA);Sweden;Poppels
Imperial NEIPA;Hop aromatic taste with clear bitterness and slight sweetness, hints of pineapple, pine needles, papaya, sponge cake, spices and grapefruit. Served at 8-10°C as a companion drink, or with dishes of lamb or beef, preferably grilled.;https://product-cdn.systembolaget.se/productimages/24696154/24696154_400.png?q=75&w=2000;0.65;0.7;0.25;8.5;New England IPA/Hazy IPA;Sweden;Poppels
Hazyday Hero Hazy Session IPA;Hop aromatic flavor with hints of passion fruit, pineapple, grapefruit, sponge cake and herbs. Served at 8-10°C as a companion drink, with vegetarian or pork or lamb dishes.;https://product-cdn.systembolaget.se/productimages/29183043/29183043_400.png?q=75&w=2000;0.5;0.5;0.2;4.2;New England IPA/Hazy IPA;Norway;Amundsen
Hopbliminal Messages NEIPA;Fruity, slightly hoppy flavor with clear bitterness, hints of grapefruit, nectarine, honey, pineapple and fresh herbs. Served at 10-12°C as a companion drink or with pork or lamb dishes.;https://product-cdn.systembolaget.se/productimages/14276636/14276636_400.png?q=75&w=2000;0.65;0.65;0.2;5.3;New England IPA/Hazy IPA;Norway;Amundsen
Apocalyptic Thunder Juice NEIPA;Fruity, slightly hoppy flavor with clear bitterness, notes of pineapple, fresh herbs, nectarine and citrus peel. Served at 8-10°C as a companion drink, with tasty vegetarian dishes or light meat dishes.;https://product-cdn.systembolaget.se/productimages/9356444/9356444_400.png?q=75&w=2000;0.65;0.65;0.2;6.5;New England IPA/Hazy IPA;Norway;Amundsen
Double Apocalypse NEIPA;Aromatic hop flavor with clear bitterness, hints of dried pineapple, pine needles, honey and grapefruit peel. Served at 8-10°C as a companion drink.;https://product-cdn.systembolaget.se/productimages/21804652/21804652_400.png?q=75&w=2000;0.7;0.7;0.15;8.5;New England IPA/Hazy IPA;Norway;Amundsen
GLAZED AND CONFUSED 3.0;Malty, roasted, sweet flavor with hints of rye bread, chocolate, cinnamon, dried fruit, coffee and vanilla. Served at 12-14°C as a companion drink or with chocolate desserts.;https://product-cdn.systembolaget.se/productimages/40085822/40085822_400.png?q=75&w=2000;0.5;0.8;0.75;12.5;Porter & Stout;Norway;Amundsen
Hazy Jane;Fruity taste with clear bitterness, hints of mango, pine resin, ambrosia cake, dried pineapple and papaya. Served at 8-10°C as a companion drink or with dishes of lamb or beef, preferably grilled.;https://product-cdn.systembolaget.se/productimages/25245746/25245746_400.png?q=75&w=2000;0.65;0.65;0.15;5.0;New England IPA/Hazy IPA;United Kingdom;BrewDog
Clockwork;Very fruity taste with clear bitterness, hints of tangerine, mango, herbs and orange peel. Served at 8-10°C as a companion drink or with light meat dishes, buffet or with vegetarian dishes.;https://product-cdn.systembolaget.se/productimages/11719472/11719472_400.png?q=75&w=2000;0.65;0.5;0.15;4.5;Session IPA;United Kingdom;BrewDog
Hop Frenzy;Fruity, hop-aromatic taste with clear bitterness, hints of pineapple, passion fruit, light crisp bread, pine needles and grapefruit. Served at 10-12°C as a companion drink or with tasty dishes of pork, lamb or beef, preferably grilled.;https://product-cdn.systembolaget.se/productimages/39840394/39840394_400.png?q=75&w=2000;0.6;0.6;0.15;5.8;New England IPA/Hazy IPA;United Kingdom;BrewDog
Jever Pilsner;Malty taste with clear bitterness, hints of crispbread, herbs, apricot and orange peel. Served at 8-10°C as a companion drink, or with dishes of pork, lamb and beef.;https://product-cdn.systembolaget.se/productimages/15107/15107_400.png?q=75&w=2000;0.65;0.5;0.05;4.9;German-Style Pilsner;Germany;Radeberger Gruppe
Radeberger Pilsner;Malty taste with clear bitterness, hints of crispbread, herbs, honey and citrus peel. Served at 8-10°C as a companion drink or with pork or lamb dishes.;https://product-cdn.systembolaget.se/productimages/24626862/24626862_400.png?q=75&w=2000;0.6;0.4;0.1;4.8;German-Style Pilsner;Germany;Radeberger Gruppe
Berliner Pils;Malty taste with hints of crispbread, thyme and citrus peel. Served at 8-10°C as a companion drink, with vegetarian or light meat dishes.;https://product-cdn.systembolaget.se/productimages/24625486/24625486_400.png?q=75&w=2000;0.5;0.5;0.1;5.0;German-Style Pilsner;Germany;Radeberger Gruppe
Punk IPA;Fruity, hoppy flavor with clear bitterness, hints of passion fruit, orange marmalade, sponge cake, rosemary and grapefruit. Served at 10-12°C as a companion drink, or with tasty, preferably grilled dishes of lamb or beef.;https://product-cdn.systembolaget.se/productimages/299605/299605_400.png?q=75&w=2000;0.7;0.5;0.1;5.4;India Pale Ale (IPA);United Kingdom;BrewDog
